id	English	Japanese	French	German	Spanish	Korean	Chinese
hard27.sublevel1.hint2	{M7} is {M6}'s brother-in-law	{M7} は {M6} の義理の兄弟です	{M7} est le beau-frère de {M6}	{M7} ist der Schwager von {M6}.	{M7} es el cuñado de {M6}	{M7}(은)는 {M6}와 법적으로 맺어진 형제입니다	{M7} 是 {M6} 的兄弟（姻親）
hard27.sublevel1.hint3	{M8} is {M3}'s middle grandchild	{M8} は {M3} の真ん中の孫です	{M8} est le deuxième petit-enfant de {M3}	{M8} ist das mittlere Enkelkind von {M3}.	{M8} es el nieto mediano de {M3}	{M8}(은)는 {M3}의 둘째 손주입니다	{M8} 是 {M3} 的第二個孫子女
hard27.sublevel1.hint4	{F7} is {M6}'s youngest niece	{F7} は {M6} の姪の中で最年少です	{F7} est la plus jeune nièce de {M6}	{F7} ist die jüngste Nichte von {M6}.	{F7} es la sobrina más joven de {M6}	{F7}(은)는 {M6}의 막내 조카딸입니다	{F7} 是 {M6} 年紀最小的姪女／外甥女
hard27.sublevel2.hint1	{M4} is {M5}'s older brother	{M4} は {M5} の兄です	{M4} est le frère aîné de {M5}	{M4} ist der ältere Bruder von {M5}.	{M4} es el hermano mayor de {M5}	{M4}(은)는 {M5}의 형입니다	{M4} 是 {M5} 的哥哥
hard27.sublevel2.hint2	{M1}'s son married {F3}	{M1} の息子は {F3} と結婚しました	Le fils de {M1} a épousé {F3}	{M1}s Sohn hat {F3} geheiratet.	El hijo de {M1} se casó con {F3}	{M1}의 아들은 {F3}(와)과 결혼했습니다	{M1} 的兒子娶了 {F3} 為妻
hard27.sublevel2.hint3	{F4} is {F1}'s eldest grandchild	{F4} は {F1} の孫の中で最年長です	{F4} est l'aînée des petits-enfants de {F1}	{F4} ist das älteste Enkelkind von {F1}.	{F4} es la nieta más mayor de {F1}	{F4}(은)는 {F1}의 첫째 손주입니다	{F4} 是 {F1} 年紀最大的孫子女
hard28.sublevel1.hint1	{F7} is the mother of one child and is married to {M3}	{F7} は1児の母親であり、 {M3} と結婚しています	{F7} est la mère d'un enfant et est mariée à {M3}	{F7} ist Mutter eines Kindes und ist mit {M3} verheiratet.	{F7} tiene 1 hijo y está casada con {M3}	{F7}(은)는 한 아이의 엄마이자, {M3}(와)과 결혼했습니다	{F7} 是 1 個孩子的母親，並且嫁給了 {M3}
hard28.sublevel1.hint2	{M6} is not married	{M6} は結婚していません	{M6} n'est pas marié	{M6} ist nicht verheiratet.	{M6} no está casado	{M6}(은)는 결혼하지 않았습니다	{M6} 未婚
hard28.sublevel1.hint3	{F6} has a daughter and also a granddaughter	{F6} には娘が1人と孫娘が1人います	{F6} a une fille et une petite-fille	{F6} hat eine Tochter und auch eine Enkelin.	{F6} tiene una hija y también una nieta	{F6}에게는 딸이 한 명 있으며, 손녀딸도 한 명 있습니다	{F6} 有一個女兒，也有一個孫女
hard28.sublevel1.hint4	{M5} is married to {F6}	{M5} は {F6} と結婚しています	{M5} est marié à {F6}	{M5} ist mit {F6} verheiratet.	{M5} está casado con {F6}	{M5}(은)는 {F6}(와)과 결혼했습니다	{M5} 娶了 {F6} 為妻
hard28.sublevel2.hint1	{M2} is {M3}'s father	{M2} は {M3} の父親です	{M2} est le père de {M3}	{M2} ist der Vater von {M3}.	{M2} es el padre de {M3}	{M2}(은)는 {M3}의 아버지입니다	{M2} 是 {M3} 的父親
hard28.sublevel2.hint2	{M3} is {M1} and {F1}'s grandchild	{M3} は {M1} と {F1} の孫です	{M3} est le petit-fils de {M1} et {F1}	{M3} ist das Enkelkind von {M1} und {F1}.	{M3} es nieto de {M1} y {F1}	{M3}(은)는 {M1}(와)과 {F1}의 손자입니다	{M3} 是 {M1} 與 {F1} 的孫子女
hard28.sublevel2.hint3	{M1}'s daughter has short brown hair	{M1} の娘の髪の毛はショートで色は茶色です	La fille de {M1} a des cheveux bruns et courts	{M1}s Tochter hat kurze, braune Haare.	La hija de {M1} tiene pelo marrón y corto	{M1}의 딸은 갈색의 단발머리입니다	{M1} 的女兒有著一頭棕色短髮
hard28.sublevel2.hint4	{F3} and {M3} grew up together	{F3} と {M3} は一緒に育ちました	{F3} et {M3} ont grandi ensemble	{F3} und {M3} sind zusammen aufgewachsen.	{F3} y {M3} crecieron juntos	{F3}(와)과 {M3}(은)는 함께 자랐습니다	{F3} 與 {M3} 一同成長
hard28.sublevel3.hint1	{M9}'s son married his cousin	{M9} の息子は彼のいとこと結婚しました	Le fils de {M9} a épousé sa cousine	{M9}s Sohn hat seine Cousine geheiratet.	El hijo de {M9} se casó con su prima	{M9}의 아들은 그의 사촌과 결혼했습니다	{M9} 的兒子娶了他的堂表姊妹為妻
hard28.sublevel3.hint2	{F11}'s older brother works as a barber	{F11} の兄は理髪師として働いています	Le frère aîné de {F11} travaille comme coiffeur	{F11}s älterer Bruder arbeitet als Friseur.	El hermano mayor de {F11} trabaja de barbero	{F11}의 오빠는 이발사입니다	{F11} 的哥哥是一名理髮師
hard28.sublevel4.hint1	{F4} has two children	{F4} には子どもが2人います	{F4} a deux enfants	{F4} hat 2 Kinder.	{F4} tiene 2 hijos	{F4}에게는 자식이 2명 있습니다	{F4} 有 2 個孩子
hard28.sublevel4.hint2	{M4} is a married man	{M4} は既婚男性です	{M4} est un homme marié	{M4} ist ein verheirateter Mann.	{M4} es un hombre casado	{M4}(은)는 결혼한 남성입니다	{M4} 是一名已婚男士
hard28.sublevel4.hint3	{F9} has an older and younger brother	{F9} には兄が1人と弟が1人います	{F9} a un frère aîné et un jeune frère	{F9} hat einen älteren und einen jüngeren Bruder.	{F9} tiene un hermano mayor y uno pequeño	{F9}에게는 오빠와 남동생이 있습니다	{F9} 有一個哥哥與一個弟弟
hard28.sublevel4.hint4	{F8} has 3 children	{F8} には子どもが3人います	{F8} a trois enfants	{F8} haben 3 Kinder.	{F8} tiene 3 hijos	{F8}에게는 자식이 3명 있습니다	{F8} 有 3 個孩子
hard28.sublevel4.hint5	{F5} and {M5} have the same parent	{F5} と {M5} には同じ親がいます	{F5} et {M5} ont le même parent	{F5} und {M5} haben dasselbe Elternteil.	{F5} y {M5} tienen los mismos padres	{F5}(와)과 {M5}(은)는 부모님이 같습니다	{F5} 與 {M5} 的父母是同一對
hard28.sublevel4.hint6	{M7} is older than {M8}	{M7} は {M8} より年上です	{M7} est plus âgé que {M8}	{M7} ist älter als {M8}.	{M7} es más mayor que {M8}	{M7}(은)는 {M8}보다 나이가 많습니다	{M7} 的年紀比 {M8} 大
hard29.sublevel1.hint1	{F2} is married, but not to {M1}	{F2} は結婚していますが、相手は {M1} ではありません	{F2} est mariée, mais pas à {M1}	{F2} ist verheiratet, aber nicht mit {M1}.	{F2} está casada, pero no con {M1}	{F2}(은)는 결혼했지만, {M1}(와)과는 아닙니다	{F2} 已婚，但不是嫁給 {M1}
hard29.sublevel1.hint2	{M4} and {F4} share the same father	{M4} と {F4} は父親が同じです	{M4} et {F4} ont le même père	{M4} und {F4} haben denselben Vater.	{M4} y {F4} tienen el mismo padre	{M4}(와)과 {F4}(은)는 아버지가 같습니다	{M4} 與 {F4} 的父親是同一人
hard29.sublevel1.hint3	{F3} and {F4} share the same mother	{F3} と {F4} は母親が同じです	{F3} et {F4} ont la même mère	{F3} und {F4} haben dieselbe Mutter.	{F3} y {F4} tienen la misma madre	{F3}(와)과 {F4}(은)는 어머니가 같습니다	{F3} 與 {F4} 的母親是同一人
hard29.sublevel1.hint4	{M4} is {M2} and {F2}'s son	{M4} は {M2} と {F2} の息子です	{M4} est le fils de {M2} et {F2}	{M4} ist der Sohn von {M2} und {F2}.	{M4} es el hijo de {M2} y {F2}	{M4}(은)는 {M2}(와)과 {F2}의 아들입니다	{M4} 是 {M2} 與 {F2} 的兒子
hard29.sublevel2.hint1	{F3}'s husband has light skin and black hair	{F3} の夫は肌色が明るくて髪の毛は黒色です	Le mari de {F3} a la peau claire et les cheveux noirs	{F3}s Ehemann hat helle Haut und schwarzes Haar.	El marido de {F3} tiene piel clara y pelo negro	{F3}의 남편은 피부색이 밝고 검은 머리입니다	{F3} 的丈夫有著淺色肌膚與一頭黑髮
hard29.sublevel2.hint2	{M7} is a married man	{M7} は既婚男性です	{M7} est un homme marié	{M7} ist ein verheirateter Mann.	{M7} es un hombre casado	{M7}(은)는 결혼한 남성입니다	{M7} 是一名已婚男士
hard29.sublevel2.hint3	{F5} is {M6}'s older sister	{F5} は {M6} の姉です	{F5} est la sœur aînée de {M6}	{F5} ist die ältere Schwester von {M6}.	{F5} es la hermana mayor de {M6}	{F5}(은)는 {M6}의 누나입니다	{F5} 是 {M6} 的姊姊
hard29.sublevel2.hint4	{F7} is {F4}'s daughter-in-law	{F7} は {F4} の義理の娘です	{F7} est la belle-fille de {F4}	{F7} ist die Schwiegertochter von {F4}.	{F7} es la nuera de {F4}	{F7}(은)는 {F4}의 며느리입니다	{F7} 是 {F4} 的媳婦
hard29.sublevel2.hint5	{F6}'s younger brother is married	{F6} の弟は結婚しています	Le jeune frère de {F6} est marié	{F6}s jüngerer Bruder ist verheiratet.	El hermano pequeño de {F6} está casado	{F6}의 남동생은 결혼했습니다	{F6} 的弟弟已婚
hard29.sublevel3.hint1	{F9} has a sister	{F9} には姉妹が1人います	{F9} a une sœur	{F9} hat eine Schwester.	{F9} tiene una hermana	{F9}에게는 자매가 한 명 있습니다	{F9} 有一個姊妹
hard29.sublevel3.hint2	{M10} has a brother	{M10} には兄弟が1人います	{M10} a un frère	{M10} hat einen Bruder.	{M10} tiene un hermano	{M10}에게는 형제가 한 명 있습니다	{M10} 有一個兄弟
hard29.sublevel3.hint3	{F9} and {M9} are both the eldest child in their family	{F9} と {M9} は2人とも自分たちの家族の長子です	{F9} et {M9} sont tous deux les aînés de leur famille	{F9} und {M9} sind die ältesten Kind in ihrer jeweiligen Familie.	Tanto {F9} como {M9} son los hijos mayores en sus familias	{F9}(와)과 {M9}(은)는 모두 각 가정에서 첫째입니다	{F9} 與 {M9} 兩人都是他們家庭中年紀最大的孩子
hard29.sublevel3.hint4	{F6} wanted a son, but it was not fulfilled	{F6} は息子を望んでいましたが、叶いませんでした	{F6} voulait un fils, mais cela ne s'est pas réalisé	{F6} wollte einen Sohn, sein Wunsch wurde jedoch nicht erfüllt.	{F6} quería un hijo varón, pero no se cumplió	{F6}(은)는 아들을 낳길 원했지만, 이뤄지지 않았습니다	{F6} 想要有一個兒子，但未能如願
hard29.sublevel4.hint1	{F5}'s son works as a sailor	{F5} の息子は船乗りとして働いています	Le fils de {F5} travaille comme marin	{F5}s Sohn arbeitet als Matrose.	El hijo de {F5} trabaja de marinero	{F5}의 아들은 선원입니다	{F5} 的兒子是一名水手
hard29.sublevel4.hint2	{F8}'s youngest child works as a firefighter	{F8} の末の子は消防士として働いています	Le plus jeune enfant de {F8} travaille comme pompier	{F8}s jüngstes Kind arbeitet als Feuerwehrmann/Feuerwehrfrau.	El hijo pequeño de {F8} trabaja de bombero	{F8}의 막냇자식은 소방관입니다	{F8} 年紀最小的孩子是一名消防員
hard29.sublevel4.hint3	{M5} is {M11}'s grandfather	{M5} は {M11} の祖父です	{M5} est le grand-père de {M11}	{M5} ist der Großvater von {M11}.	{M5} es el abuelo de {M11}	{M5}(은)는 {M11}의 (외)할아버지입니다	{M5} 是 {M11} 的祖父
hard30.sublevel1.hint1	{F6} and {M8}'s mother is {M2}'s daughter	{F6} と {M8} の母親は {M2} の娘です	La mère de {F6} et {M8} est la fille de {M2}	Die Mutter von {F6} und {M8} ist die Tochter von {M2}.	La madre de {F6} y {M8} es la hija de {M2}	{F6}(와)과 {M8}의 어머니는 {M2}의 딸입니다	{F6} 與 {M8} 的母親是 {M2} 的女兒
hard30.sublevel1.hint2	{M2} and {F2} have 3 adorable grandchildren	{M2} と {F2} にはかわいい3人の孫がいます	{M2} et {F2} ont trois adorables petits-enfants	{M2} und {F2} haben 3 hinreißende Enkelkinder.	{M2} y {F2} tienen 3 nietos adorables	{M2}(와)과 {F2}에게는 사랑스러운 3명의 손주가 있습니다	{M2} 與 {F2} 有 3 個可愛的孫子女
hard30.sublevel1.hint3	{M6} adopted {F7}, who later married his nephew	{M6} の養子になった {F7} は、後に彼の甥と結婚しました	{M6} a adopté {F7}, qui a ensuite épousé son neveu	{M6} hat {F7} adoptiert, die später seinen Neffen geheiratet hat.	{M6} adoptó a {F7}, quien se casó después con su sobrino	{M6}(은)는 {F7}(을)를 입양했는데, 후에 그의 조카와 결혼했습니다	{F7} 由 {M6} 收養，並於後來嫁給了他的姪子／外甥
hard30.sublevel1.hint4	{M5} is {F4}'s husband	{M5} は {F4} の夫です	{M5} est le mari de {F4}	{M5} ist der Ehemann von {F4}.	{M5} es el marido de {F4}	{M5}(은)는 {F4}의 남편입니다	{M5} 是 {F4} 的丈夫
hard30.sublevel1.hint5	{F6} and {M8} are siblings	{F6} と {M8} は兄弟姉妹です	{F6} et {M8} sont frères et sœurs	{F6} und {M8} sind Geschwister.	{F6} y {M8} son hermanos	{F6}(와)과 {M8}(은)는 남매지간입니다	{F6} 與 {M8} 是手足關係
hard30.sublevel2.hint1	{F5} is {F6}'s cousin	{F5} は {F6} のいとこです	{F5} est la cousine de {F6}	{F5} ist die Cousine von {F6}.	{F5} es la prima de {F6}	{F5}(은)는 {F6}의 사촌입니다	{F5} 是 {F6} 的堂表姊妹
hard30.sublevel2.hint2	{F1} and her eldest grandchild have the same hair color	{F1} と彼女の最年長の孫は髪の毛の色が同じです	{F1} et l'aîné de ses petits-enfants ont la même couleur de cheveux	{F1} und ihr ältestes Enkelkind haben dieselbe Haarfarbe.	{F1} y su nieto mayor tienen el mismo color de pelo	{F1}(와)과 그녀의 첫째 손주와 머리색이 같습니다	{F1} 跟她年紀最大的孫子女有著相同的髮色
hard30.sublevel2.hint3	{M5} and {F3} have the same parents	{M5} と {F3} は両親が同じです	{M5} et {F3} ont les mêmes parents	{M5} und {F3} haben dasselbe Elternteil.	{M5} y {F3} tienen los mismos padres	{M5}(와)과 {F3}(은)는 부모가 같습니다	{M5} 與 {F3} 的父母是同一對
hard30.sublevel2.hint4	{M3} is {M1}'s son-in-law	{M3} は {M1} の義理の息子です	{M3} est le gendre de {M1}	{M3} ist der Schwiegersohn von {M1}.	{M3} es el yerno de {M1}	{M3}(은)는 {M1}의 사위입니다	{M3} 是 {M1} 的女婿
hard30.sublevel2.hint5	{M7} is {M5}'s youngest nephew	{M7} は {M5} の最年少の甥です	{M7} est le plus jeune neveu de {M5}	{M7} ist der jüngste Neffe von {M5}.	{M7} es el sobrino más joven de {M5}	{M7}(은)는 {M5}의 막내 조카입니다	{M7} 是 {M5} 年紀最小的姪子／外甥
hard31.sublevel1.hint1	{M4}'s mother has long curly ginger hair	{M4} の母親の髪の毛はロングで巻き毛で赤毛です	La mère de {M4} a de longs cheveux roux bouclés	{M4}s Mutter hat lange rote Locken.	La madre de {M4} es pelirroja y tiene el pelo largo y rizado	{M4}의 어머니는 붉은색의 긴 곱슬머리를 가지고 있습니다	{M4} 的母親有著一頭紅色長捲髮
hard31.sublevel1.hint2	{M1} and {F1} have a granddaughter	{M1} と {F1} には孫娘が1人います	{M1} et {F1} ont une petite-fille	{M1} und {F1} haben eine Enkelin.	{M1} y {F1} tienen una nieta	{M1}(와)과 {F1}에게는 손녀딸이 한 명 있습니다	{M1} 與 {F1} 有一個孫女
hard31.sublevel1.hint3	{F3} married {F1}'s son	{F3} は {F1} の息子と結婚しました	{F3} a épousé le fils de {F1}	{F3} hat den Sohn von {F1} geheiratet.	{F3} se casó con el hijo de {F1}	{F3}(은)는 {F1}의 아들과 결혼했습니다	{F3} 嫁給了 {F1} 的兒子
hard31.sublevel1.hint4	{M2} married {M4}'s mother	{M2} は {M4} の母親と結婚しました	{M2} a épousé la mère de {M4}	{M2} hat die Mutter von {M4} geheiratet.	{M2} se casó con la madre de {M4}	{M2}(은)는 {M4}의 어머니와 부부 관계입니다	{M2} 娶了 {M4} 的母親為妻
hard31.sublevel1.hint5	{M3} is {F4}'s father	{M3} は {F4} の父親です	{M3} est le père de {F4}	{M3} ist der Vater von {F4}.	{M3} es el padre de {F4}	{M3}(은)는 {F4}의 아버지입니다	{M3} 是 {F4} 的父親
hard31.sublevel2.hint1	{F7} is {M5}'s adoptive daughter	{F7} は {M5} の養女です	{F7} est la fille adoptive de {M5}	{F7} ist die Adoptivtochter von {M5}.	{F7} es la hija adoptiva de {M5}	{F7}(은)는 {M5}의 양녀입니다	{F7} 是 {M5} 的養女
hard31.sublevel2.hint2	{F5} is {M7}'s adoptive mother	{F5} は {M7} の養母です	{F5} est la mère adoptive de {M7}	{F5} ist die Adoptivmutter von {M7}.	{F5} es la madre adoptiva de {M7}	{F5}(은)는 {M7}의 양어머니입니다	{F5} 是 {M7} 的養母
hard31.sublevel2.hint3	{M8} is {M6}'s eldest child	{M8} は {M6} の長子です	{M8} est l'aîné de {M6}	{M8} ist das älteste Kind von {M6}.	{M8} es el hijo mayor de {M6}	{M8}(은)는 {M6}의 첫째 자식입니다	{M8} 是 {M6} 年紀最大的孩子
hard31.sublevel2.hint4	{M4}'s youngest child works as a bartender	{M4} の末の子はバーテンダーとして働いています	Le plus jeune enfant de {M4} travaille comme barman	{M4}s jüngstes Kind arbeitet als Barkeeper.	El hijo pequeño de {M4} trabaja de camarero	{M4}의 막냇자식은 바텐더입니다	{M4} 年紀最小的孩子是一名調酒師
hard31.sublevel2.hint5	{F4}'s middle child is a female	{F4} の真ん中の子は女です	L'enfant cadet de {F4} est une fille	{F4}s mittleres Kind ist weiblich.	La hija mediana de {F4} es una chica	{F4}의 둘째 자식은 여성입니다	{F4} 的第二個孩子是女生
hard31.sublevel2.hint6	{F8} is {F6}'s youngest child	{F8} は {F6} の末の子です	{F8} est le plus jeune enfant de {F6}	{F8} ist das jüngste Kind von {F6}.	{F8} es la hija más joven de {F6}	{F8}(은)는 {F6}의 막내딸입니다	{F8} 是 {F6} 年紀最小的孩子
hard32.sublevel1.hint1	Both of {F6}'s children are girls	{F6} の子どもは2人とも女の子です	Les deux enfants de {F6} sont des filles	Beide Kinder von {F6} sind Mädchen.	{F6} tiene dos hijas, las dos son chicas	{F6}의 두 명의 자식 모두 여자입니다	{F6} 的兩個孩子都是女孩
hard32.sublevel1.hint2	{M7} is a married man	{M7} は既婚男性です	{M7} est un homme marié	{M7} ist ein verheirateter Mann.	{M7} es un hombre casado	{M7}(은)는 결혼한 남성입니다	{M7} 是一名已婚男士
hard32.sublevel1.hint3	Both of {F7}'s children are boys	{F7} の子どもは2人とも男の子です	Les deux enfants de {F7} sont des garçons	Beide Kinder von {F7} sind Jungen.	{F7} tiene dos hijos, los dos son chicos	{F7}의 두 명의 자식 모두 남자입니다	{F7} 的兩個孩子都是男孩
hard32.sublevel1.hint4	{M10} is younger than {M9}	{M10} は {M9} より年下です	{M10} est plus jeune que {M9}	{M10} ist jünger als {M9}.	{M10} es más joven que {M9}	{M10}(은)는 {M9}보다 나이가 어립니다	{M10} 的年紀比 {M9} 小
hard32.sublevel1.hint5	{F9} is older than {F10}	{F9} は {F10} より年上です	{F9} est plus âgée que {F10}	{F9} ist älter als {F10}.	{F9} es más mayor que {F10}	{F9}(은)는 {F10}보다 나이가 많습니다	{F9} 的年紀比 {F10} 大
hard32.sublevel2.hint1	{F4} is a married woman	{F4} は既婚女性です	{F4} est une femme mariée	{F4} ist eine verheiratete Frau.	{F4} es una mujer casada	{F4}(은)는 결혼한 여성입니다	{F4} 是一名已婚女士
hard32.sublevel2.hint2	{M8} is not {F5}'s husband	{M8} は {F5} の夫ではありません	{M8} n'est pas le mari de {F5}	{M8} ist nicht der Ehemann von {F5}.	{M8} no es el marido de {F5}	{M8}(은)는 {F5}의 남편이 아닙니다	{M8} 不是 {F5} 的丈夫
hard32.sublevel2.hint3	{F5}'s husband has dark skin and ginger hair	{F5} の夫の肌色は暗くて髪の毛は赤毛です	Le mari de {F5} a la peau foncée et les cheveux roux	{F5}s Ehemann ist dunkelhäutig und rothaarig.	El marido de {F5} tiene piel morena y es pelirrojo	{F5}의 남편은 피부색이 어둡고 붉은 머리입니다	{F5} 的丈夫有著深黑色肌膚與一頭紅髮
hard32.sublevel2.hint4	{F5}'s children in order are female, male, then female	{F5} の子どもたちの順番は、女、男、そして女です	Les enfants de {F5} sont, dans l'ordre, une fille, un garçon, puis une fille	{F5}s Kinder sind der Reihenfolge nach weiblich, männlich, weiblich.	Los hijos de {F5} son chica, chico y, después, chica, en ese orden	{F5}의 자식 순서는 여성, 남성, 여성입니다	{F5} 的孩子依序為女生、男生，然後是女生
hard32.sublevel3.hint1	{F1}'s son is {M4}'s father	{F1} の息子は {M4} の父親です	Le fils de {F1} est le père de {M4}	Der Sohn von {F1} ist der Vater von {M4}.	El hijo de {F1} es el padre de {M4}	{F1}의 아들은 {M4}의 아버지입니다	{F1} 的兒子是 {M4} 的父親
hard32.sublevel3.hint2	{F2} is {F3}'s sister-in-law	{F2} は {F3} の義理の姉妹です	{F2} est la belle-sœur de {F3}	{F2} ist die Schwägerin von {F3}.	{F2} es la cuñada de {F3}	{F2}(은)는 {F3}(와)과 법으로 맺어진 자매 관계입니다	{F2} 是 {F3} 的姊妹（姻親）
hard32.sublevel3.hint3	{M1} is married to {F1}	{M1} は {F1} と結婚しています	{M1} est marié à {F1}	{M1} ist mit {F1} verheiratet.	{M1} está casado con {F1}	{M1}(은)는 {F1}(와)과 결혼했습니다	{M1} 娶了 {F1} 為妻
hard33.sublevel1.hint1	{M11} is not {F5}'s son	{M11} は {F5} の息子ではありません	{M11} n'est pas le fils de {F5}	{M11} ist nicht der Sohn von {F5}.	{M11} no es el hijo de {F5}	{M11}(은)는 {F5}의 아들이 아닙니다	{M11} 不是 {F5} 的兒子
hard33.sublevel1.hint2	{F6} is {F7}'s older sister	{F6} は {F7} の姉です	{F6} est la sœur aînée de {F7}	{F6} ist die ältere Schwester von {F7}.	{F6} es la hermana mayor de {F7}	{F6}(은)는 {F7}의 언니입니다	{F6} 是 {F7} 的姊姊
hard33.sublevel1.hint3	{F7} is married to {M9}, she only has 1 son	{F7} は {M9} と結婚しており、息子が1人だけいます	{F7} est mariée à {M9}, elle n'a qu'un fils	{F7} ist mit {M9} verheiratet, diese hat nur 1 Sohn.	{F7} está casada con {M9}; ella solo tiene 1 hijo	{F7}(은)는 {M9}(와)과 결혼하여, 외동아들이 있습니다	{F7} 嫁給了 {M9}，她只有 1 個兒子
hard33.sublevel1.hint4	{M8} is {F6}'s younger brother	{M8} は {F6} の弟です	{M8} est le jeune frère de {F6}	{M8} ist der jüngere Bruder von {F6}.	{M8} es el hermano pequeño de {F6}	{M8}(은)는 {F6}의 남동생입니다	{M8} 是 {F6} 的弟弟
hard33.sublevel2.hint1	{F8} has twin identical daughters	{F8} には一卵性双生児の娘たちがいます	{F8} a des vraies jumelles	{F8} hat eineiige Zwillingstöchter.	{F8} tiene hijas gemelas idénticas	{F8}에게는 일란성 쌍둥이 딸이 있습니다	{F8} 有一對同卵雙胞胎女兒
hard33.sublevel2.hint2	{F6} is not married to {M10}	{F6} は {M10} と結婚していません	{F6} n'est pas mariée à {M10}	{F6} ist nicht mit {M10} verheiratet.	{F6} no está casada con {M10}	{F6}(은)는 {M10}(와)과 부부 관계가 아닙니다	{F6} 沒有嫁給 {M10}
hard33.sublevel2.hint3	{F6} wished for a son, but it was not fulfilled	{F6} は息子を望んでいましたが、叶いませんでした	{F6} a souhaité avoir un fils, mais son vœu n'a pas été exaucé	{F6} hat sich einen Sohn gewünscht, doch der Wunsch hat sich nicht erfüllt.	{F6} quería un hijo varón, pero no se cumplió	{F6}(은)는 아들을 낳길 원했지만, 이뤄지지 않았습니다	{F6} 希望有一個兒子，但未能如願
hard33.sublevel3.hint1	{M2} is married to {F2}	{M2} は {F2} と結婚しています	{M2} est marié à {F2}	{M2} ist mit {F2} verheiratet.	{M2} está casado con {F2}	{M2}(은)는 {F2}(와)과 결혼했습니다	{M2} 娶了 {F2} 為妻
hard33.sublevel3.hint2	{M4} is married to {F4}	{M4} は {F4} と結婚しています	{M4} est marié à {F4}	{M4} ist mit {F4} verheiratet.	{M4} está casado con {F4}	{M4}(은)는 {F4}(와)과 결혼했습니다	{M4} 娶了 {F4} 為妻
hard33.sublevel3.hint3	{M6}'s father has a younger sister	{M6} の父親には妹がいます	Le père de {M6} a une jeune sœur	{M6}s Vater hat eine jüngere Schwester.	El padre de {M6} tiene una hermana pequeña	{M6}의 아버지에게는 여동생이 한 명 있습니다	{M6} 的父親有一個妹妹
hard33.sublevel3.hint4	As their mother, {F2} cared for {M4} and {F5}	母親として、{F2} は {M4} と {F5} を大事に思っていました	En tant que mère, {F2} s'est occupée de {M4} et {F5}	Als ihre Mutter hat {F2} für {M4} und {F5} gesorgt.	En condición de madre, {F2} cuidó de {M4} y {F5}	{F2}(은)는 어머니로서 {M4}(와)과 {F5}(을)를 보살폈습니다	{F2} 身為 {M4} 與 {F5} 的母親而照顧著他們
hard33.sublevel4.hint1	{M5}'s mother works as a nurse	{M5} の母親は看護師として働いています	La mère de {M5} est infirmière	{M5}s Mutter arbeitet als Krankenschwester.	La madre de {M5} trabaja de enfermera	{M5}의 어머니는 간호사입니다	{M5} 的母親是一名護理師
hard33.sublevel4.hint2	{M3}'s father works as a farmer	{M3} の父親は農家として働いています	Le père de {M3} travaille comme agriculteur	{M3}s Vater arbeitet als Bauer.	El padre de {M3} trabaja de granjero	{M3}의 아버지는 농부입니다	{M3} 的父親是一名農夫
hard33.sublevel4.hint3	{F1}'s son is married	{F1} の息子は結婚しています	Le fils de {F1} est marié	{F1}s Sohn ist verheiratet.	El hijo de {F1} está casado	{F1}의 아들은 결혼했습니다	{F1} 的兒子已婚
hard34.sublevel1.hint1	Both {M4} and {M2} have a son	{M4} と {M2} は2人とも息子が1人います	{M4} et {M2} ont tous deux un fils	Sowohl {M4} als auch {M2} haben einen Sohn.	Tanto {M4} como {M2} tienen un hijo	{M4}(와)과 {M2}에게는 아들이 한 명씩 있습니다	{M4} 與 {M2} 兩人都有一個兒子
hard34.sublevel1.hint2	{F2} is married to {M2}	{F2} は {M2} と結婚しています	{F2} est mariée à {M2}	{F2} ist mit {M2} verheiratet.	{F2} está casada con {M2}	{F2}(은)는 {M2}(와)과 결혼했습니다	{F2} 嫁給了 {M2}
hard34.sublevel1.hint3	{F4} is married to {M4}	{F4} は {M4} と結婚しています	{F4} est mariée à {M4}	{F4} ist mit {M4} verheiratet.	{F4} está casada con {M4}	{F4}(은)는 {M4}(와)과 결혼했습니다	{F4} 嫁給了 {M4}
hard34.sublevel1.hint4	{M6} is the youngest	{M6} は最年少です	{M6} est le plus jeune	{M6} ist der Jüngste.	{M6} es el más joven	{M6}(은)는 나이가 가장 어립니다	{M6} 的年紀最小
hard34.sublevel1.hint5	{M2} is 20 years older than {M4}	{M2} は {M4} より20歳年上です	{M2} a 20 ans de plus que {M4}	{M2} ist 20 Jahre älter als {M4}.	{M2} tiene 20 años más que {M4}	{M2}(은)는 {M4}보다 20살이 많습니다	{M2} 比 {M4} 大 20 歲
hard34.sublevel2.hint1	{F5}'s daughters both married the same man	{F5} の娘たちは2人とも同じ男性と結婚しました	Les filles de {F5} ont épousé le même homme	{F5}s Töchter haben beide denselben Mann geheiratet.	Las dos hijas de {F5} se casaron con el mismo hombre	{F5}의 두 명의 딸은 같은 남자와 결혼했습니다	{F5} 的兩個女兒都嫁給了同一個男人
hard34.sublevel2.hint2	{F6} has 1 daughter only	{F6} には娘1人だけがいます	{F6} a une seule fille	{F6} hat nur 1 Tochter.	{F6} solo tiene 1 hija	{F6}에게는 딸만 한 명 있습니다	{F6} 只有 1 個女兒
